target_lab,target_weights
93.05467216824698;-13.52443756677374;88.24413337218287,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
79.13799151824739;14.950410904616406;72.05763463369543,0.0;0.25;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
68.06005955732883;37.59196679892424;58.51013582885819,0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59.4947111683784;52.587344471343776;49.43964163323572,0.0;0.75;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
52.370344868584624;61.09238608164025;44.41743162254441,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
86.97432738230724;-8.401653242143258;84.52824204586972,0.25;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
73.16779070213566;21.941709478349335;69.03926826894079,0.25;0.25;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
63.30822412973451;41.243126513819064;59.79075291772148,0.25;0.5;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54.92893027698692;55.896449419037545;53.015857808431136,0.25;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
80.59597981775288;-2.559264475533063;80.33186448246352,0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.89296270773252;25.96184755580605;68.25398433689301,0.5;0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
57.909728260333964;46.849916506627565;59.505940184520455,0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
73.98157428057225;2.6404661833641097;75.6977020928893,0.75;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
61.86404923206804;31.344327196043466;65.23719306297153,0.75;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32.112010421859175;55.57715769733368;-81.89570995877071,0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30.889391833568872;40.81711707740091;-49.26692802718592,0.0;0.25;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35.47300283750205;35.85358913728548;-13.068481539473442,0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42.94652329503914;43.80421754227193;19.88627168875802,0.0;0.75;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0
52.370344868584624;61.09238608164025;44.41743162254441,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38.764055326781225;-1.3314154884452312;-14.798500468186049,0.25;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40.9139628228848;6.999999659533324;10.285048749982561,0.25;0.25;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45.4382029520668;25.816335392480294;34.232462577884704,0.25;0.5;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54.92893027698692;55.896449419037545;53.015857808431136,0.25;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
47.01152815523787;-18.762749842305247;28.507176947058845,0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
49.480768442722876;9.724021062311017;43.38148191686645,0.5;0.25;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0
57.909728260333964;46.849916506627565;59.505940184520455,0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54.84042204417591;-13.594418209665504;51.99474953565636,0.75;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0
61.86404923206804;31.344327196043466;65.23719306297153,0.75;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40.362733626571746;54.79863856636899;33.349081115326264,0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
43.21014217488926;56.25335771959655;36.507097728554136,0.0;0.25;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0
46.241725936981304;58.00858901396288;39.31689725793235,0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0
49.24865778420475;59.727058248607634;42.081355164923195,0.0;0.75;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0
52.370344868584624;61.09238608164025;44.41743162254441,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45.20803668607308;52.40546681182573;46.5221709811298,0.25;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0
48.41404849856821;53.70387229998103;49.251925316634726,0.25;0.25;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0
51.41890155921091;54.63225721056064;51.72979650724776,0.25;0.5;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0
54.92893027698692;55.896449419037545;53.015857808431136,0.25;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50.790357605472934;46.30375329018277;53.655896721561916,0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0
54.35755700085245;46.56662757803193;56.94889681430857,0.5;0.25;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0
57.909728260333964;46.849916506627565;59.505940184520455,0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
57.478586624247995;32.29422347396177;60.96430941140479,0.75;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0
61.86404923206804;31.344327196043466;65.23719306297153,0.75;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45.83013734686718;20.028389728642402;46.87686885739514,0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
47.45632056910291;33.43023832891057;47.92528207176111,0.0;0.25;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0
49.15855965963554;44.480256213932144;48.423845380314376,0.0;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0
50.77879086279137;53.50213520659564;47.138130795083164,0.0;0.75;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0
52.370344868584624;61.09238608164025;44.41743162254441,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
49.95928791512729;18.695392529250622;51.37995952916623,0.25;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0
51.713593624830054;32.91961925538106;53.13683057105158,0.25;0.25;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0
52.90152558141696;45.044059818065755;52.980215985175164,0.25;0.5;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0
54.92893027698692;55.896449419037545;53.015857808431136,0.25;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54.89458796140141;16.112618041368766;57.254529852189826,0.5;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0
56.28444178732603;32.297819433131814;58.67243546331243,0.5;0.25;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0
57.909728260333964;46.849916506627565;59.505940184520455,0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
