target_lab,target_weights
93.05467216824698;-13.52443756677374;88.24413337218287,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
81.62310558937283;10.081100214127892;75.19988838724187,0.0;0.2;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
72.29006234709458;29.461343838733335;63.55135442928494,0.0;0.4;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
64.43650694104466;44.460970393985335;54.31191738837807,0.0;0.6;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
57.9940468732447;54.93936659280491;48.27995756519362,0.0;0.8;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
52.370344868584624;61.09238608164025;44.41743162254441,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
88.17517532395253;-9.537601007691077;85.37905540849913,0.2;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
76.90773878048108;14.875170676298733;72.60404720325938,0.2;0.2;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
68.02084698019831;32.706288439476424;63.429326532701566,0.2;0.4;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
60.69129901972039;47.31944952347128;55.67924257026049,0.2;0.6;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54.48966311460322;57.174918510749684;51.69569907182661,0.2;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
83.2687849582949;-5.401509623651379;82.12225174720264,0.4;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
71.85059444103966;21.2184989027564;70.08835567787297,0.4;0.2;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
63.853213580756815;37.33421661894726;63.03192559590205,0.4;0.4;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56.67647635323361;50.99450333647232;57.07290754377022,0.4;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
78.07828135059808;-0.6250669787259411;78.60038075362517,0.6;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.71242554754436;22.68473850981173;69.28450671462775,0.6;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59.29024947909363;41.64972968500879;61.76989083579241,0.6;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
72.76378118559956;3.8641347769889367;74.84590181368655,0.8;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32.112010421859175;55.57715769733368;-81.89570995877071,0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30.67955912774731;42.88625081617617;-56.33546061218031,0.0;0.2;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33.09729702427413;36.110590882681315;-27.631760509014658,0.0;0.4;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38.204638740703324;38.02473236036358;0.7654953877936577,0.0;0.6;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44.734613059764115;46.51376988468686;25.559055889637072,0.0;0.8;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
52.370344868584624;61.09238608164025;44.41743162254441,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36.76348157944843;7.0579702288198485;-27.127904638768918,0.2;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38.24850798720777;7.90470254470288;-4.231300263252069,0.2;0.2;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41.9822414403412;19.574802113778876;18.882841692717523,0.2;0.4;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46.99829481038868;36.85596392711143;36.21813845285728,0.2;0.6;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54.48966311460322;57.174918510749684;51.69569907182661,0.2;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44.12733833823723;-15.727936702135043;14.346135173514707,0.4;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45.89487521141216;0.40493186330919917;29.33796863221646,0.4;0.2;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
48.91590771168926;23.617796530919776;43.01352828728797,0.4;0.4;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56.67647635323361;50.99450333647232;57.07290754377022,0.4;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
49.885856077965784;-18.813684855053083;39.28232832069541,0.6;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
52.44893299140031;8.49598548825753;49.600331034941526,0.6;0.2;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59.29024947909363;41.64972968500879;61.76989083579241,0.6;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56.63940646287402;-10.42160315106666;55.84708273540462,0.8;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40.362733626571746;54.79863856636899;33.349081115326264,0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
42.706338658628574;55.969501126185094;35.84730027526016,0.0;0.2;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0
45.04047339834915;57.10701103895932;38.30851888721315,0.0;0.4;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0
47.56154160770995;58.56238095429944;40.45025843426138,0.0;0.6;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0
49.88134376079128;59.68259271424448;42.318283992352846,0.0;0.8;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
52.370344868584624;61.09238608164025;44.41743162254441,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44.431758649972856;52.9504621525797;44.7296871644098,0.2;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0
46.66428022908177;54.43692897508362;46.40971826191509,0.2;0.2;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0
49.168983882802664;55.16559563201079;47.86301738749133,0.2;0.4;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0
